numSamples,sampFreq,DIPort,DOPort,AO0,AI0,DO0,DI2
200,20,0,0,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,5,0,0,0
,,,,5,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,5,0,0,0
,,,,5,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,5,0,0,0
,,,,5,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,5,0,0,0
,,,,5,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,5,0,0,0
,,,,5,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,5,0,0,0
,,,,5,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,5,0,0,0
,,,,5,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,5,0,0,0
,,,,5,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,5,0,0,0
,,,,5,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,0,0,0,0
,,,,5,0,0,0
,,,,5,0,0,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
