numSamples 100000
sampFreq 100000
numAIChannels 3
AIChannels ai0,ai1,ai2
numDIChannels 2
DIPort 0
DIChannels line4,line5
numAOChannels 4 
AOChannels ao0,ao1,ao2,ao3
numDOChannels 4
DOPort 0
DOChannels line0,line1,line2,line3
AODATA
0,0,0,0
0.418114,0.836228,0.836228,0.836228
0.831647,1.66329,1.66329,1.66329
1.23607,2.47214,2.47214,2.47214
1.62695,3.25389,3.25389,3.25389
2,4,4,4
2.35114,4.70228,4.70228,4.70228
2.67652,5.35304,5.35304,5.35304
2.97258,5.94516,5.94516,5.94516
3.23607,6.47214,6.47214,6.47214
3.4641,6.9282,6.9282,6.9282
3.65418,7.30836,7.30836,7.30836
3.80423,7.60845,7.60845,7.60845
3.91259,7.82518,7.82518,7.82518
3.97809,7.95618,7.95618,7.95618
4,8,8,8
3.97809,7.95618,7.95618,7.95618
3.91259,7.82518,7.82518,7.82518
3.80423,7.60845,7.60845,7.60845
3.65418,7.30836,7.30836,7.30836
3.4641,6.9282,6.9282,6.9282
3.23607,6.47214,6.47214,6.47214
2.97258,5.94516,5.94516,5.94516
2.67652,5.35304,5.35304,5.35304
2.35114,4.70228,4.70228,4.70228
2,4,4,4
1.62695,3.25389,3.25389,3.25389
1.23607,2.47214,2.47214,2.47214
0.831647,1.66329,1.66329,1.66329
0.418114,0.836228,0.836228,0.836228
-8.27292e-13,-1.65458e-12,-1.65458e-12,-1.65458e-12
-0.418114,-0.836228,-0.836228,-0.836228
-0.831647,-1.66329,-1.66329,-1.66329
-1.23607,-2.47214,-2.47214,-2.47214
-1.62695,-3.25389,-3.25389,-3.25389
-2,-4,-4,-4
-2.35114,-4.70228,-4.70228,-4.70228
-2.67652,-5.35304,-5.35304,-5.35304
-2.97258,-5.94516,-5.94516,-5.94516
-3.23607,-6.47214,-6.47214,-6.47214
-3.4641,-6.9282,-6.9282,-6.9282
-3.65418,-7.30836,-7.30836,-7.30836
-3.80423,-7.60845,-7.60845,-7.60845
-3.91259,-7.82518,-7.82518,-7.82518
-3.97809,-7.95618,-7.95618,-7.95618
-4,-8,-8,-8
-3.97809,-7.95618,-7.95618,-7.95618
-3.91259,-7.82518,-7.82518,-7.82518
-3.80423,-7.60845,-7.60845,-7.60845
-3.65418,-7.30836,-7.30836,-7.30836
-3.4641,-6.9282,-6.9282,-6.9282
-3.23607,-6.47214,-6.47214,-6.47214
-2.97258,-5.94516,-5.94516,-5.94516
-2.67652,-5.35304,-5.35304,-5.35304
-2.35114,-4.70228,-4.70228,-4.70228
-2,-4,-4,-4
-1.62695,-3.25389,-3.25389,-3.25389
-1.23607,-2.47214,-2.47214,-2.47214
-0.831647,-1.66329,-1.66329,-1.66329
-0.418114,-0.836228,-0.836228,-0.836228
1.65458e-12,3.30917e-12,3.30917e-12,3.30917e-12
0.418114,0.836228,0.836228,0.836228
0.831647,1.66329,1.66329,1.66329
1.23607,2.47214,2.47214,2.47214
1.62695,3.25389,3.25389,3.25389
2,4,4,4
2.35114,4.70228,4.70228,4.70228
2.67652,5.35304,5.35304,5.35304
2.97258,5.94516,5.94516,5.94516
3.23607,6.47214,6.47214,6.47214
3.4641,6.9282,6.9282,6.9282
3.65418,7.30836,7.30836,7.30836
3.80423,7.60845,7.60845,7.60845
3.91259,7.82518,7.82518,7.82518
3.97809,7.95618,7.95618,7.95618
4,8,8,8
3.97809,7.95618,7.95618,7.95618
3.91259,7.82518,7.82518,7.82518
3.80423,7.60845,7.60845,7.60845
3.65418,7.30836,7.30836,7.30836
3.4641,6.9282,6.9282,6.9282
3.23607,6.47214,6.47214,6.47214
2.97258,5.94516,5.94516,5.94516
2.67652,5.35304,5.35304,5.35304
2.35114,4.70228,4.70228,4.70228
2,4,4,4
1.62695,3.25389,3.25389,3.25389
1.23607,2.47214,2.47214,2.47214
0.831647,1.66329,1.66329,1.66329
0.418114,0.836228,0.836228,0.836228
-2.47832e-12,-4.95665e-12,-4.95665e-12,-4.95665e-12
-0.418114,-0.836228,-0.836228,-0.836228
-0.831647,-1.66329,-1.66329,-1.66329
-1.23607,-2.47214,-2.47214,-2.47214
-1.62695,-3.25389,-3.25389,-3.25389
-2,-4,-4,-4
-2.35114,-4.70228,-4.70228,-4.70228
-2.67652,-5.35304,-5.35304,-5.35304
-2.97258,-5.94516,-5.94516,-5.94516
